trade_date,tradebook,trade_id,currency,price,quantity,notional
2026-02-01,FICC,1,EUR,101.10,2,202.20
2026-02-02,FX,2,USD,102.20,3,306.60
2026-02-03,EQD,3,USD,103.30,4,413.20
2026-02-04,FICC,4,EUR,104.40,5,522.00
2026-02-05,FX,5,USD,105.50,6,633.00
2026-02-06,EQD,6,USD,106.60,7,746.20
2026-02-07,FICC,7,EUR,107.00,8,856.00
2026-02-08,FX,8,USD,108.10,9,972.90
2026-02-09,EQD,9,USD,109.20,10,1092.00
2026-02-10,FICC,10,EUR,110.30,11,1213.30
2026-02-11,FX,11,USD,111.40,12,1336.80
2026-02-12,EQD,12,USD,112.50,13,1462.50
2026-02-13,FICC,13,EUR,113.60,14,1590.40
2026-02-14,FX,14,USD,114.00,15,1710.00
2026-02-15,EQD,15,USD,115.10,16,1841.60
2026-02-16,FICC,16,EUR,116.20,17,1975.40
2026-02-17,FX,17,USD,117.30,18,2111.40
2026-02-18,EQD,18,USD,118.40,19,2249.60
2026-02-19,FICC,19,EUR,119.50,20,2390.00
2026-02-20,FX,20,USD,120.60,1,120.60
2026-02-21,EQD,21,USD,121.00,2,242.00
2026-02-22,FICC,22,EUR,122.10,3,366.30
2026-02-23,FX,23,USD,123.20,4,492.80
2026-02-24,EQD,24,USD,124.30,5,621.50
2026-02-25,FICC,25,EUR,125.40,6,752.40
2026-02-26,FX,26,USD,126.50,7,885.50
2026-02-27,EQD,27,USD,127.60,8,1020.80
2026-02-28,FICC,28,EUR,128.00,9,1152.00
2026-02-01,FX,29,USD,129.10,10,1291.00
2026-02-02,EQD,30,USD,130.20,11,1432.20
2026-02-03,FICC,31,EUR,131.30,12,1575.60
2026-02-04,FX,32,USD,132.40,13,1721.20
2026-02-05,EQD,33,USD,133.50,14,1869.00
2026-02-06,FICC,34,EUR,134.60,15,2019.00
2026-02-07,FX,35,USD,135.00,16,2160.00
2026-02-08,EQD,36,USD,136.10,17,2313.70
2026-02-09,FICC,37,EUR,137.20,18,2469.60
2026-02-10,FX,38,USD,138.30,19,2627.70
2026-02-11,EQD,39,USD,139.40,20,2788.00
2026-02-12,FICC,40,EUR,140.50,1,140.50
2026-02-13,FX,41,USD,141.60,2,283.20
2026-02-14,EQD,42,USD,142.00,3,426.00
2026-02-15,FICC,43,EUR,143.10,4,572.40
2026-02-16,FX,44,USD,144.20,5,721.00
2026-02-17,EQD,45,USD,145.30,6,871.80
2026-02-18,FICC,46,EUR,146.40,7,1024.80
2026-02-19,FX,47,USD,147.50,8,1180.00
2026-02-20,EQD,48,USD,148.60,9,1337.40
2026-02-21,FICC,49,EUR,149.00,10,1490.00
2026-02-22,FX,50,USD,100.10,11,1101.10
2026-02-23,EQD,51,USD,101.20,12,1214.40
2026-02-24,FICC,52,EUR,102.30,13,1329.90
2026-02-25,FX,53,USD,103.40,14,1447.60
2026-02-26,EQD,54,USD,104.50,15,1567.50
2026-02-27,FICC,55,EUR,105.60,16,1689.60
2026-02-28,FX,56,USD,106.00,17,1802.00
2026-02-01,EQD,57,USD,107.10,18,1927.80
2026-02-02,FICC,58,EUR,108.20,19,2055.80
2026-02-03,FX,59,USD,109.30,20,2186.00
2026-02-04,EQD,60,USD,110.40,1,110.40
2026-02-05,FICC,61,EUR,111.50,2,223.00
2026-02-06,FX,62,USD,112.60,3,337.80
2026-02-07,EQD,63,USD,113.00,4,452.00
2026-02-08,FICC,64,EUR,114.10,5,570.50
2026-02-09,FX,65,USD,115.20,6,691.20
2026-02-10,EQD,66,USD,116.30,7,814.10
2026-02-11,FICC,67,EUR,117.40,8,939.20
2026-02-12,FX,68,USD,118.50,9,1066.50
2026-02-13,EQD,69,USD,119.60,10,1196.00
2026-02-14,FICC,70,EUR,120.00,11,1320.00
2026-02-15,FX,71,USD,121.10,12,1453.20
2026-02-16,EQD,72,USD,122.20,13,1588.60
2026-02-17,FICC,73,EUR,123.30,14,1726.20
2026-02-18,FX,74,USD,124.40,15,1866.00
2026-02-19,EQD,75,USD,125.50,16,2008.00
2026-02-20,FICC,76,EUR,126.60,17,2152.20
2026-02-21,FX,77,USD,127.00,18,2286.00
2026-02-22,EQD,78,USD,128.10,19,2433.90
2026-02-23,FICC,79,EUR,129.20,20,2584.00
2026-02-24,FX,80,USD,130.30,1,130.30
2026-02-25,EQD,81,USD,131.40,2,262.80
2026-02-26,FICC,82,EUR,132.50,3,397.50
2026-02-27,FX,83,USD,133.60,4,534.40
2026-02-28,EQD,84,USD,134.00,5,670.00
2026-02-01,FICC,85,EUR,135.10,6,810.60
2026-02-02,FX,86,USD,136.20,7,953.40
2026-02-03,EQD,87,USD,137.30,8,1098.40
2026-02-04,FICC,88,EUR,138.40,9,1245.60
2026-02-05,FX,89,USD,139.50,10,1395.00
2026-02-06,EQD,90,USD,140.60,11,1546.60
2026-02-07,FICC,91,EUR,141.00,12,1692.00
2026-02-08,FX,92,USD,142.10,13,1847.30
2026-02-09,EQD,93,USD,143.20,14,2004.80
2026-02-10,FICC,94,EUR,144.30,15,2164.50
2026-02-11,FX,95,USD,145.40,16,2326.40
2026-02-12,EQD,96,USD,146.50,17,2490.50
2026-02-13,FICC,97,EUR,147.60,18,2656.80
2026-02-14,FX,98,USD,148.00,19,2812.00
2026-02-15,EQD,99,USD,149.10,20,2982.00
2026-02-16,FICC,100,EUR,100.20,1,100.20
2026-02-17,FX,101,USD,101.30,2,202.60
2026-02-18,EQD,102,USD,102.40,3,307.20
2026-02-19,FICC,103,EUR,103.50,4,414.00
2026-02-20,FX,104,USD,104.60,5,523.00
2026-02-21,EQD,105,USD,105.00,6,630.00
2026-02-22,FICC,106,EUR,106.10,7,742.70
2026-02-23,FX,107,USD,107.20,8,857.60
2026-02-24,EQD,108,USD,108.30,9,974.70
2026-02-25,FICC,109,EUR,109.40,10,1094.00
2026-02-26,FX,110,USD,110.50,11,1215.50
2026-02-27,EQD,111,USD,111.60,12,1339.20
2026-02-28,FICC,112,EUR,112.00,13,1456.00
2026-02-01,FX,113,USD,113.10,14,1583.40
2026-02-02,EQD,114,USD,114.20,15,1713.00
2026-02-03,FICC,115,EUR,115.30,16,1844.80
2026-02-04,FX,116,USD,116.40,17,1978.80
2026-02-05,EQD,117,USD,117.50,18,2115.00
2026-02-06,FICC,118,EUR,118.60,19,2253.40
2026-02-07,FX,119,USD,119.00,20,2380.00
2026-02-08,EQD,120,USD,120.10,1,120.10
2026-02-09,FICC,121,EUR,121.20,2,242.40
2026-02-10,FX,122,USD,122.30,3,366.90
